Power (Watts),Official Name of Satellite
4800,Intelsat New Dawn
4800,ABS-7
4800,Optus D1
4900,NSS-806
4900,Intelsat 805
5,Horyu-4
5400,Superbird-B2
5.4,TUGSat-1
50,Hodoyoshi-1
50,Hodoyoshi-3
50,BeijinGalaxy-1
50,Hodoyoshi-4
500,Jason 2
500,Jason 3
500,Suzaku
500-700,Formosat-2
5000,SES-2
5000,SES-1
5000,AMC-21
5000,Thaicom-5
5000,Optus D3
5100,Eutelsat 12 West A
5200,JCSat R
5200,JCSat 1B
5200,JCSat 4A
5200,Daichi-2
55,Fast On-orbit Recording of Transient Events) FORTÉ 
55,KazEOSat-2
550,Calipso
550,Kalpana-1
500,Afristar 
5500,INSAT 4A
5500,KazSat-3
56,Maroc Tubsat
5600,AsiaStar
5600,Eutelsat 16C
5640,Syracuse 3A
570,Cloudsat
575,Multispectral Thermal Imager (MTI)
5900,Thor-6
5900,Eutelsat 33B
5900,Eutelsat 33C
6,Prototype Communications SATellite (PCSat)
6500,AMC-7
6500,AMC-3
6500,AMC-1
6500,AMC-11
6500,AMC-2
6500,AMC-10
6797,Apstar 9A
6800,ABS-6
600,Cassiope
600,EO-1
6000,Skynet 5A
6000,Skynet 5B
6000,Hispasat 1C
6000,Express-AM2
6000,Badr 6
6000,Express-A1R
6000,Express AM-22
6000,Eutelsat 36A
6000,Palapa D1
608,SWARM-C
608,SWARM-B
608,SWARM-A
6200,Hispasat 1D
6250,GSAT-8
6600,Astra 1G
6600,Astra 1H
7200,JCSat 110
70,SCD-2
70,SCD-1
700,Meteosat 8
700,Meteosat 9
7000,Intelsat 906
7000,Echostar 1 
7000,Eutelsat 28B
7000,Astra 2C
7000,Astra 2A
7400,Eutelsat 8 West A
7400,ABS-4
7600,HellasSat 2
7700,Sicral 2/Syracuse 3C
7800,Astra 2B
8100,DirecTV-4S
8700,DirecTV-12
8700,DirecTV-1R
80,Scisat-1
800,EROS B-1
8000,USA 157
8000,USA 169
8000,USA 164
8000,ChinaSat 1C
8000,USA 99
8000,USA 115
8100,Turksat 3A
8200,DirecTV-8
830,NOAA-15
830,NOAA-18
840,Theos
8500,AsiaSat-8
8500,Intelsat 902
8500,Intelsat 904
86,Project for On-Board Autonomy (Proba 2)
8600,Nimiq 2
8600,Intelsat 903
8600,Arabsat 7F
8600,Galaxy-13
9000,Eurasiasat 1
9500,Amazonas-1
900,USA 210
900,USA 131
900,USA 172
900,USA 173
900,Hisaki
900,USA 147
9000,Eutelsat Hot Bird 13A
9000,ABS-3
906,SARAL
9500,Galaxy-17
9500,ChinaSat 6B
9500,AsiaSat-4
955,Kompsat-2
9600,Intelsat 10
9700,Intelsat 5
9900,Intelsat 9
9900,Astra 1M
